full_text,label;;;;;;;;;;;;;
Tau gak sih obat paling ampuh buat atasin burn out itu pake libur-profen? Nih ada libur-profen ampuh bin seru buat yang lagi butuh healing 100K aja udah bisa refresh energi plus bonus bisa main kano &amp; dokum polaroid! Yuk kepoin ig kita di genfeel(dot)tnt! Ugm_fess https://t.co/0LO56OU0pt,0;;;;;;;;;;;;
luv! dulu punya whislist bikin buket bunga sama doi eh tau nya udh keburu putus sekarang jadi bingung banget mau dtg sm siapa ada yg mau brg sender? https://t.co/IBdYwcmGFT,1;;;;;;;;;;;;;
yg jadi staff icd rata rata pada smt brp? ugm_fess,0;;;;;;;;;;;;;
Kulak ada yang mau ga ya? 20k aja cuma dipake semalem dijual karena beli karena sandal ketinggalan ukuran 39 nego juga boleh. Langsung rep aja besok langsung diantar karena mau pulkam lagi please urgent https://t.co/j8PaP0r7uK,0;;;;;;;;;;;;;
Siapa mau UDANG AYAM KEJU 3K/Pcs CIRENG AYAM 2K/Pcs LUMPIA AYAM KULIT TAHU 3K/Pcs SALAD SAYUR 15K/box Ready besok!! yukk buruan diorderr bisa reply yahh!!! Bisa cod/diantar UGM dan sekitarnya https://t.co/55QfgZ6j78,0;;;;;;;;;;;;;
[FULL COURSE MEAL - STARTER PACK MAHASISWA] Jadi anak rantau jarang makan sayur atau butuh kopi buat begadang tapi masih pengen jajanan lucu tapi ga bikin boncos‍↔️ Pas banget nih kami punya Mahasiswa s Full Course Meal - Lukchup️ (5 pcs) 5K - Salad Roll (6 https://t.co/GVcQTHdvrT,0;;;;;;;;;;;;;
yujiem ada yang nonton esp tgl 4 Mei dan sendirian ga? yg VIP mau cari temen btw sender cewe ya,0;;;;;;;;;;;;;
ada yg mau tukeran almet ga ya? punya sender udah kekecilan lengannya mau dipake KKN punya sender L butuh XL. kalau bisa yg angkatan 22 biar warnanya samaa reply aja nanti sender DM ugm_fess,0;;;;;;;;;;;;;
menurut kalian kalau kamar kost di lantai 1 tapi depan parkiran dan itu parkiran indoor gitu bakalan berisik ga ya? sender dpt harga 1.1 ac udh include listrik tapi ragu ambil karna itu... (tipe gabisa berisik kalau mau tidur di kamar) ugm_fess https://t.co/PXgkaSpfwL,0;;;;;;;;;;;;;
TW // SARIAWAN haiiii gusyyyy warga yujiem apakah ada yang sedang sariawan di bibir/gusi/lidah/pipi bagian dalam dan ingin dilakukan perawatan dengan koas gigi? Boleh reply aja yaa nanti aku dm Thankyouuu https://t.co/DXQZrf0dS0,0;;;;;;;;;;;;;
ugm_fess Oper Kamar/Kost/Kontraan putri dari AWAL MEI - AKHIR JULI 650/bulan (nego) bisa lanjut. https://t.co/7uS9PcFCl0,0;;;;;;;;;;;;;
ugm_fess ada yg temennya atau kalian sendiri yg jual motor second karna udah mau lulus atau alasan lain gak yahh? tolong replyyy kaaakk aku lagi butuhh️,0;;;;;;;;;;;;;
Halo temen-temen! Adakah di sini yg pernah naik gunung (minimal 1x)? ️ Sender mau minta tolong buat isi kuesioner penelitian karena masih butuh sekitar 300-an responden. link nya akan aku drop di komen yaa. Buat yg mau barter juga boleh bagett. Terima kasih banyak all ,0;;;;;;;;;;;;;
PROMO GOJEK AKHIR BULAN PASTIADAJALAN GO2VCE7TFYM3 COBAINGOJEK GORIDEAJA GOCARAJA GOSENDHEMAT GOBANDARA GOKANTOR GAJIAN YUKSEKOLAH YUKNGAMPUS GOSHOP GOMALL GOJEKDUKCAPIL ikuti challenge PASTIADAJALAN menangin hadiah menarik! https://t.co/wD43pxNZKJ,0;;;;;;;;;;;;;
kakak kakak adakah kating atau alumni yg ngerjain skripsi beres &amp; lulus tepat waktu tanpa support system kyk pacar atau temen deket di kampus? kalau ada nih semisal burn out pas ngerjain skripsi biasanya ngapain? ugm_fess,0;;;;;;;;;;;;
luv! butuh saran beneran clueless maaf yg pacaran aku tp yg ribet kalian https://t.co/qduwrd7550,0;;;;;;;;;;;;;
temenku sepatu nya hilang pas sholat ashar di masjid klebengan dan pas di cek cctv orangnya memakai sepatu tsb ciri ciri nya ada di gambar. bagi yang kenal bisa reply yaa makasih yujiem https://t.co/bw8sTafPtM,0;;;;;;;;;;;;;
yujiem guys saranin toko jualan wadah plastik buat makanan gitu yg bisa dianter dong? thank u btw,0;;;;;;;;;;;;;
ugm_fess tiap pembelian akan ada free barang kebutuhan kos lokasi jakal deket apotek kentungan. oiya aku juga ada info kos avail 11 mei di harga 1.250/ bulan bayarnya bisa per bulan. kalo mau beli barang atau sekalian tanya kos boleh dm @/senandikarsaa on twt https://t.co/mq0n8NJ9SD,0;;;;;;;;;;;;;
halo warga yujiem disini ada yang tau pricelist ruangan GIK ngga ya?,0;;;;;;;;;;;;;
ugm_fess ada titipan barangkali ada yang berminat [FOR SALE] Kasur lipat Uniland ukuran 160x200 preloved kondisi super bagus! Harga beli 468k aku lepas cuma 250k aja. Nyaman praktis cocok buat kosan Minat DM ya! https://t.co/jMbHo6vMPU,0;;;;;;;;;;;;;
hai yujiem ada yg tau ga ya kalau reschedule jadwal kontrol ke dokter pake aplikasi RSA UGM Online tetap bisa pake bpjs kan ya? atau jadinya pembayaran mandiri? atau harus ke sana langsung ya buat ganti jadwalnya makasihhh,0;;;;;;;;;;;;;
[OPEN PO READY SETIAP HARI JAM 9.00 DAN 15.00] Cireng Isi ️Halo warga UGM️ Yuk intip menunya: Cireng Isi Ayam Suwir 3K Cireng Isi Keju 3K Pesan hari ini besok langsung jadi! COD cuma di area UGM jadi buruan order sebelum kehabisan! Jangan lupa buat konfirmasi ke https://t.co/0VcXGMQJP6,0;;;;;;;;;;;;;
Preloved alert‼️ Barang-barang pribadi aku lepas karena kamar udah kayak gudang. Harga masih bisa nego sampe deal. Siapa cepat dia dapat! Langsung aja chat aku di WA: 088225087850 https://t.co/2EtoSJvQKO,0;;;;;;;;;;;;;
Haloo sobat ugm sender sama temen² lagi meneliti mahasantri nih barang kali ada sobat um yang kuliah sambil mondok minta bantu isi dong https://t.co/JgSmlkolAO (Akan mendapat Shopee Pay bagi yang beruntung),0;;;;;;;;;;;;;
temen temen ugm_fess yang wisuda mei ada yang belom dapet verifikasi dpp gak? terakhir di time line hari ini jam 12 aman ga ya?,0;;;;;;;;;;;;;
ugm fess ada ga ya anak ugm yang butuh sewa motor bulanan/mingguan? sender minggu depan mau magang diluar jogja dan mau sewain sekitar 1-3 bulan per bulan 600 motor scoopy 23 penting dirawat aja nder. ada yang mau ga ya...,0;;;;;;;;;;;;;
Scaling haloo yujiem! Apakah ada yang punya keluhan : - Karang gigi (dengan atau tanpa disertai ngilu) - ⁠Gusi bengkak Dan berminat untuk melakukan perawatan scaling dengan koas rabu 30 April besok ? Boleh repp ya nanti sender dm untuk biaya bisa didiskusikan dulu thank https://t.co/Mb0leEWs4e,0;;;;;;;;;;;;;
PENCABUTAN GIGI GRATIS ‼️sisa akar/gigi berlubang besar‼️cus WA aku yaa https://t.co/4cgY7FtInG atau kalau mau nanya nanya dulu juga boleeh *semua tindakan dibawah pengawasan dokter spesialis* (koass kedokteran gigi ugm) #cabutgigi #gigi #koasgigi #jogja #gratis #free https://t.co/GiRZAJH4se,0;;;;;;;;;;;;;
kulak! wts tiket jogjajanan fast track 1 pcs harga presale 1 bisa cod,0;;;;;;;;;;;;;
kulak! guys aku mau jual atasan makeup sama tas kuliah nih. free anter ke kos sekitaran ugm atau cod. kalo minat nanti sender dm https://t.co/IKTdbsnJa3,0;;;;;;;;;;;;;
Rekomendasiin toko baju cewek hijab di jogja dong yujiem aku biasa di nadiraa pgn nyari yg lain ,1;;;;;;;;;;;;;
luv! HIII AKU LAGI OPEN SPONSORSHIPP‼️‼️ buat acara apapun specially buat tim kkn yang mau tanya tanya bisa rep aja nanti ak dm iaa (sponsorku gapake data pribadi),0;;;;;;;;;;;;;
Halo yujiem aku sedang melakukan survei pengalaman kunjungan ke Teras Malioboro niiihh. Bagi teman-teman yang pernah berkunjung dan berkenan isi boleh reply yah Terima kasihh,0;;;;;;;;;;;;;
Kulak! bulan mei banyak long weekend enaknya jalan-jalan sambil foto-foto cantik make digicam gak sii pas banget aku open sewa digicam lagi PROMO 50% jadi cuma 22 5K aja yuk langsung cek instagram @/digiacaa n tunjukin mfs ini untuk claim promonya! &lt;3 https://t.co/GDZw84kTMF,0;;;;;;;;;;;;
tok tok hiiii warga ugm_fess ada yang berkenan bantu kuesioner akhir penelitian ku kah? kriterianya usia 17-35 th dan pernah membeli produk kopi lokal secara online (gofood/grabfood/shopeefood dll). kalo mau barter juga boleh. huhu terima kasih orang baik. https://t.co/3xNK1TZ56R,0;;;;;;;;;;;;;
ugm_fess dijual lemari kayu astrobox 500k nego galon+pompa 50k lokasi selokan mataram yang minat bisa reply nanti aku dm ya https://t.co/ZggXpTrNih,0;;;;;;;;;;;;;
Yujiem infokan yang bisa jadi tutor persamaan diferensial ada fee diutamakan cewe karna sender juga cewe Makasi ,0;;;;;;;;;;;;;
yujiem! dicari ODGJ!!! orang dengan genetik joinmun https://t.co/BTCcmPd75y,0;;;;;;;;;;;;;
ada yang mau nonton the red envelope bareng ga yujiem ?,0;;;;;;;;;;;;;
luv! Halo R TPB 22! Terima kasih sudah selalu ada. Kamu adalah definisi dari ku aman ada bersamamu ,0;;;;;;;;;;;;;
yujiem wtb 1 tiket jogjajanan ada ga yaaa?,0;;;;;;;;;;;;;
hii yujiem adakah saran tempat staycation yang enak buat stay semdirian &amp; bisa buat ngilangin stress skripsian?? or at least bikin pikiran seger thankkk youuu,2;;;;;;;;;;;;
OPEN TRIP RAFTING ELO Bingung mau liburan kemana? Rafting bareng kami aja yuk! Jangan takut daftar sendirian kami hadir untuk menemani kalian! Tanggal : 12 Mei 2025 Harga : Rp 230.000 Meeting Point : SV UGM Info &amp; Pendaftaran : WA: 081228996513 (Aldi) yujiem https://t.co/trjPwvVt1r,1;;;;;;;;;;;;
ugm_fess guys kalau kalian masih kagok pake excel mending langsung join aja deh excel training! ada 2 kategori beginner dan advanced bisa sesuaikan aja nih sama kebutuhan kalian! yuk mending langsung cus daftar aja maksimal tanggal 2 mei yah link aku send di bawah https://t.co/vvqgepGf7S,0;;;;;;;;;;;;;
ugm_fess disini ada yg daftar beasiswa kse ngga ya itu kalo di web mau isi data dan update data tapi datanya ngga ke save gimana ya caranya? udah berulang kali isi tp setelah tekan tombol save ngga keupadate data nya,1;;;;;;;;;;;;;
Ugm_fess DITEMUKAN!! Kartu ASKES atas nama A. BATARA GEMILANG di lorong filsafat bagi yang bersangkutan bisa hubungi PK4L Fisipol yaa (aku titipin di PK4L Fisipol) thxx https://t.co/ktpXabFTrN,0;;;;;;;;;;;;;
Ada yang mau perunggu date? Aku ada 2 tiket tp gatau mau nonton sama siapa luv,0;;;;;;;;;;;;;
yujiem 𝐆𝐚𝐦𝐚𝐭𝐢𝐫𝐞 𝐎𝐩𝐞𝐧 𝐏𝐫𝐞-𝐎𝐫𝐝𝐞𝐫 𝐁𝐚𝐭𝐜𝐡 #𝟏 𝐀𝐫𝐞 𝐲𝐨𝐮 𝐫𝐞𝐚𝐝𝐲 𝐭𝐨 𝐏𝐢𝐨𝐧𝐢𝐫 𝐆𝐚𝐝𝐣𝐚𝐡 𝐌𝐚𝐝𝐚 𝟐𝟎𝟐𝟓? dijamin 100% terpercaya bergaransi️ berkualitas dan mengikuti ketentuan dari panitia WhatsApp : 083170259080 (Naje) https://t.co/JDLD1qVxGJ,0;;;;;;;;;;;;;
suka sama yang satu fakultas yay or nay yujiem,0;;;;;;;;;;;;;
kulak! wannt to sell new all product bukan preloved ada yg lain yah start 5k cod area kampus https://t.co/lRuO6w8t03,0;;;;;;;;;;;;;
Yujiem adakah yang mau oper kos atau ada info kos cewe (km dalam) budget max 800 TIA,0;;;;;;;;;;;;;
Info dong yujiem dulu caranya gimana aku kan ada motor nah mau ditinggal KKN which means bakal ga dipake selama 50 hari lamanya nah kira-kira dulu ninggalin motor biar aman gimana yaa?,1;;;;;;;;;;;;;
yujiem ada yang tau cara minta surat keterangan kuliah ngga? itu ke akademik kah?,0;;;;;;;;;;;;;
hwhwh sedih bgt:( yg bikin lama di bagian skripsi tu nunggu data dr instansi lama bnr:( dh beberapa bln lalu jg ga dikasi:( it pun kdg ga dikasi:( bsk klo ak kerja di pemerintahan/instansi gamau nyusahin mahasiswa yg cmn mau minta data:( yujiem,0;;;;;;;;;;;;;
Ugm_fess siapa tau tmn2 kepanitian atau yg lagi punya acara dan butuh catering. Kakak sender bisa ya bisa dr harga 10k 12k 15k /box. Sudah dpt nasi lauk sayur (bisa request) krupuk buah (untuk yg 15k) mineral gelas. Kalau minat dan mau tnya2 nanti sender dm tks,0;;;;;;;;;;;;;
YUJIEM! Rekomendasiin makanan enak dengan harga yang murcee itu dong,0;;;;;;;;;;;;;
luv! ada yang mau yapping n nyambat bareng sender ga??? btw i'm F21 im up for M and F,0;;;;;;;;;;;;;
ugm_fess kalian yang mau wisuda mei udah di verif dpp belum yaa?,0;;;;;;;;;;;;;
luv! angkatan 24 dgn angkatan 22 tampaknya sangat sulit ya,0;;;;;;;;;;;;;
yujiem! ada yg mau nonton pengepungan bukit duri jam 16.15 bareng ga yah di amplaz? aku punya 2 tiket kosong gajadi dipakee reply nanti aku dm yaa,0;;;;;;;;;;;;;
mending deketin yang redflag atau yang beda agama? luv!,0;;;;;;;;;;;;;
yujiem adakah disini yg bawa topi/caping yg boleh sender pinjam hari ini? terima kasih ya yg mau jawab &amp; pinjemin,0;;;;;;;;;;;;
gais yujiem ada rekomendasi tempat pesen snackbox yang oke buat narsum ga yaa? makasih sebelumnyaa,0;;;;;;;;;;;;;
ugm_fess gengs mau nanya serius tahta tertinggi pewangi pakaian tuh yg mana ya? kek kalian pada pake pewangi apa gais.. makasih sebelumnya https://t.co/sOFalKUp2q,0;;;;;;;;;;;;;
yujiem daftar gak yaaa fomo sih kalo gak daftar https://t.co/EgyZvMWRSU,0;;;;;;;;;;;;;
Ngobrol yuk di dm sender m angkatan 22 yujiem,0;;;;;;;;;;;;;
Mutualaan dan berteman yokk sapa tau cocok kan. Cowo akt 21 luv,0;;;;;;;;;;;;;
warga yujiem temenan sama aku yukk f akt 23 rep yaah nanti aku like+follow!,0;;;;;;;;;;;;;
 OPEN PO DIMSUM MENTAI Halo guys! Sender open PO Dimsum mentai niih ada berbagai pilihan rasa dimsumnya enak meaty dan ngenyangin looh! dijamin ketagihan! Pembayaran bisa via QRIS Free Delivery area UGM ️ https://t.co/a5XmXU4UC0 for order https://t.co/LeV8e0iRxa,0;;;;;;;;;;;;;
yujiem! misalkan verifikasi yudisium yg DPP kita hasilnya tidak terverifikasi itu menandakan kita gabisa ikut wisuda periode terdekat/harus daftar yudisium lagi ataukah gimana yaa? verifikasi fakultas sih udah terverifikasi dan SKL jg udah keluar mohon pencerahannya buat yg,1;;;;;;;;;;;;;
Seumur-umur sender (cowok) blm pernah ganti gaya rambut ada rekomen barbershop yg kece dan ramah kantong ga di sekitar ugm_fess ?,0;;;;;;;;;;;;;
haloo yujiem! aku lagi butuh partisipan nihh ada yang kosong tanggal 8 Mei hari Kamis jam 1-3 siang ga yaa?? aku butuh partisipan untuk praktikum tes intelegensi di psikologii nanti bakal dapet reward juga dari akuu!! tia!! &lt;3;;;;;;;;;;;;
[FULL COURSE MEAL - STARTER PACK MAHASISWA] Jadi anak rantau jarang makan sayur atau butuh kopi buat begadang tapi masih pengen jajanan lucu tapi ga bikin boncos‍↔️ Pas banget nih kami punya Mahasiswa s Full Course Meal - Lukchup️ (5 pcs) 5K - Salad Roll (6 https://t.co/jBD1dLzAfV,0;;;;;;;;;;;;;
Yujiem! kakak-kakak kalo cewe tb/bb nya 169/65 mending almet ukuran L atau XL yaa? terima kasii ,0;;;;;;;;;;;;;
ugm_fess coba dong gusy reply pake trend kesenjangan sosial tp versi kesenjangan fakultas,0;;;;;;;;;;;;;
yujiem! ada yg mau mem prel0ved kan karpet nya tidaa? yg mura mura sajaa,0;;;;;;;;;;;;;
yujiem . tau ga dosen ugm udah nemuin padi bergizi lohh nah yang minat langsung cusss wa +62 822-2595-7759 https://t.co/SyxivndZKA,0;;;;;;;;;;;;;
yujiem eh ini yang di browsur mas-mas batik yg lagi rame itu ga sih? atau beda orang ya? https://t.co/4I3rHbWKEs,0;;;;;;;;;;;;;
Jual cepat barang kos untuk barang kecil bisa COD/delivery khusus rak ambil di tempat. Lokasi jalan agro UGM Cek detail di instagram Ig: bantuhabisinbarang__ https://t.co/jO6dr1IX4O,0;;;;;;;;;;;;;
BANTU RT BARANG HILANG Bagi yang melihat atau menemukan dompet berwarna hitam dengan identitas Manuela Adelynn Sitompul mohon menghubungi akun @vessedzs. Posisi terakhir sekiranga di depan warmindo raja rasa sampai jalan menuju asrama kintanti 2 &amp; 3. Terima kasih.,0;;;;;;;;;;;;
KEHILANGAN ‼️‼️ temen temen yujiem apakah ada yang nemu plat kendaraan R [....] XM di sekitar perempatan MM Jakal? atau di sepanjang jalan kaliurang depan mcd? Bagi yang menemukan tolong reply twt ini. Terima kasih ,0;;;;;;;;;;;;;
INFO KEHILANGAN‼️ KTP atas nama Rasendrya Laksana Kurnia hilang di area kawasan DTAP (teknik) dan sekitar jalan teknik menuju Pogung kidul dari hari Selasa sore/malem Jika menemukan hubungi ig : rasendryasandhy_ terimakasi Yujiem!!,0;;;;;;;;;;;;;
kira kira ada ga warga ugm_fess yg lagi ngegym di fithub sender lagi cari barengan nih soalnya baru first time malu kalo sendiri ,0;;;;;;;;;;;;;
ugm_fess siapa mau chatgpt premium? 25k a month akunnya dari aku. reply yaa,0;;;;;;;;;;;;;
calling out for all yujiem catholics ayoo dateng Paskah UGM sore ini jam 4 di gereja athanasius ada konsum games photobooth dan band dari frater2 kecee see youuuu https://t.co/TRtzXam9p4,0;;;;;;;;;;;;;
yujiem! hasil plotting kkn yg pemandatan dpkm udah pada keluar belum yaa? Soalnya di aku masih belum keluar sampe sekarang,0;;;;;;;;;;;;;
Ugm_fess kasih tau catering andalanmu itu dong prefer yang bisa nganter makan pagi / sarapan,0;;;;;;;;;;;;;
Guys saranin cafe deket yujiem yg enak buat nugas sendirian yg ada mkanan beratnya kyk bento cafe dong ,0;;;;;;;;;;;;;
luv! ghina ftp 24 kalo dideketin caranya gimana ya,1;;;;;;;;;;;;;
tapi ngopoe per luv an jaman saiki otomatis kudu tanggung jawab Karo traumane cah e? kondisi psikologis cah e? wong2 ngeneki emg pgn yang e melu ketularan g*nde*g e po? aku Yo tau stress goro² hubungn ngeneki meh ninggal tambah stress mergo ws digawe sering kepikiran https://t.co/nxkSqBkC3k,2;;;;;;;;;;;;;
oh gini ya luv rasanya saintek gf soshum bf tiap hari diajakin laprak date sedangkan aku ngang ngong gaada kerjaan ,0;;;;;;;;;;;;;
yujiem! butuh info kost cewe sekitar 0 km,0;;;;;;;;;;;;;
rekomenin matcha latte di ojol pls yg kaya couvee gitu tapi selain couvee pengen coba yang lain yang enak yujiem!,0;;;;;;;;;;;;;
tawarin kaca/cermin preloved kalian dong yg full body maupun half body please yujiem,0;;;;;;;;;;;;;
guyss tolong infokan kost cowo yang bisa harian di deket yujiem dongg,0;;;;;;;;;;;;;
kakak-kakak yujiem yang ada di sekitaran depok-bogor ada yang punya almamater untuk dipinjem hari senin? urgenttt bgt please. makasih yaa sebelumnya.,0;;;;;;;;;;;;;
Ugm_fess gais saranin obat radang yang ada di k24 dongg? Sama mau tanya Apakah troches manjurrr? Makasih gaiss,0;;;;;;;;;;;;;
dicari bolo ngobrol ugm_fess untuk m segala usia. sender f 22 suka sama perfilman duniawi suka olahraga terutama badminton. like komen yh cui,0;;;;;;;;;;;;;
Yujiem kalau co tinggi 170 bb 70 an mending ambil toga ukuran L atau XL ya? Sender cari ukuran yang ngga ngepas badan biar ngga gerah https://t.co/0eRrr1DX2o,0;;;;;;;;;;;;;
siapa mau nemenin nonton pengepungan di bukit duri? sender co ugm_fess,0;;;;;;;;;;;;;
WTS diri sendiri luv! M 20 170cm akt 23 (V) penghuni perpusat lt. 3 i'll give u all lovlang well dressed virgo looking for: M /F patner gelex atau konser apapun (masa sama temen lagi) akt 21-24 fakultas apa aja lebih tinggi (kalo bisa) quality,0;;;;;;;;;;;;;
luv beruntung banget bisa dapet cowo emotional intelligence-nya tinggi pinter ga ngerokok ga patriarki ga npd leadershipnya tinggi suka berbagi alhamdulillah ketemu di ugm T-T,0;;;;;;;;;;;;;
Yujiem Halo kaka2 mau tanya kalau di teknik kimia nanti bakal butuh laptop dengan spesifikasi seperti apa ya? apakah perlu yang berat2 terima kasihh,0;;;;;;;;;;;;;
kakak-kakak ugm_fess yang ada di sekitaran depok-bogor ada yang punya almamater untuk dipinjem hari senin&amp;selasa? please urgent :(,0;;;;;;;;;;;;
hiiii ugm_fess ada yang berkenan bantu kuesioner akhir penelitian ku kah? kriterianya usia 17-35 th dan pernah membeli produk kopi lokal secara online (gofood/grabfood/shopeefood dll). kalo mau barter juga boleh. huhu terima kasih orang baik. https://t.co/Arxhjgqybn,0;;;;;;;;;;;;;
gais ugm_fess kalian kalo ada sodara yg agak tua kek om atau budhe mau ke kos gt biasanya nyajiin apaaaa sender bingung bgt hshshhs,1;;;;;;;;;;;;;
ugm_fess bantuin mengurangi lemari sender yang penuh start from 20 ribu an ajaa yuk jangan lupa open dm ya https://t.co/YGQbGkxmYU,0;;;;;;;;;;;;;
yujiem! infokan cafe yang ada promo ngopi pagi dongg,0;;;;;;;;;;;;;
ni gw saking hopeless romanticnya kah ni diperhatiin dikit ma cowo dah langsung suka ke merekaa. ARGHHH ugm_fess,0;;;;;;;;;;;;;
yujiem hi tanya dong terutama yg udh pernah konsul psikolog di gmc &amp; anak psikologi. kemungkinan bakal dirujuk ke psikiater tuh kalo udh parah aja kan ya? :D,0;;;;;;;;;;;;
infokan kos cewe sekitar yujiem yg km dalam kena cahaya matahari dan BOLEH BAWA KUCING pleaseee pic pemanis banget https://t.co/KNw7oSmseV,0;;;;;;;;;;;;;
yujiem! sender besok pengen produktif dengan mengerjakan tugas kuliah. rekomen dong tempat buat ngerjain tugas yang buka dari pagi dan nyaman walaupun sendirian,0;;;;;;;;;;;;;
luv jebul nek yang-yangan i mumet e kudune entuk penyemangat kerjo malah mung ngeladeni ovtne tantrum e traumane. nek ngene aku yo edan,0;;;;;;;;;;;;;
yujiem! kita open jastip gacoan sampe jam 12 yakk,0;;;;;;;;;;;;;
yujiem gais yang pernah ke rsa ugm bayar 25% tu dia katanya masuk lewat wa ya tagihannya? bener ga ya? ada yang bisa ditanya tanya ga ya,0;;;;;;;;;;;;;
tolong rekomendasiin tempat healing yg alam2 tp deket dong. kepala sender berisik banget sender capek pengen istirahat.. yujiem!,2;;;;;;;;;;;;;
Luv! Buat mba² yang tadi pakai pita kuning kaos hitam tas kuning dan rambutnya dikucir jalan mondar-mandir pas sore hari di deket embung wisdom bawa buku hitam udah ada pawang belum?,0;;;;;;;;;;;;;
Buat temen-temen ugm_fess yang ga bawa motor dan mau ke lokasi SNBT? ada kakak UGM yang siap antar jemput kamu nih + bisa sekalian tour UGM! ‼️ Pesan minimal H-2 khusus area UGM. Booking: 085640262856 (Larasati) https://t.co/KHSQXfaBsi,0;;;;;;;;;;;;;
ugm_fess kira kira semester 3-4 cocok ga yaa klo buat join organisasi (non hima) riviuw jujur donk makasi banyakk,0;;;;;;;;;;;;;
yujiem tolong dongg barter juga gapapa. thankyouu https://t.co/d7L6KyW8r8,0;;;;;;;;;;;;;
halo temen temen ugm_fess yang bisa ngoding kira kira ada yg pernah ngoding pakai program lingo ga ya? kalau ada yg bsa bsa replyyyy dan bersedia ditanya tanyainnn,0;;;;;;;;;;;;;
Ugm_fess dicari orang yang mau diajak diskusi ttg finansial market (saham forex crypto atau aset lain) siapa tau bisa sharing atau mau minta diajarin bolehh sender trader &amp; investor di financial market angkatan '21,0;;;;;;;;;;;;
MERAPATT yang mau join kelas bahasa Inggris (persiapan TOEFL/Pre-IELTS GRATIS TIS + Kelas pembuatan essay &amp; personal statement. Ini batch 2 nyaa guiss aku join batch 1 kemarin dan okee bangett testimoninya bejibunn materi dagingg poll. Infonya sender share di QRT yaa foto,0;;;;;;;;;;;;
Yujiem! Aku mau tanya kalo semisal kita masih ambil matkul wajib di semester 8 apa bisa tetep ikut wisuda bulan agustus yaa? Terima kasih buat yg berkenan menjawab semoga kuliahnya lancar yaa!,0;;;;;;;;;;;;;
luv hi lagi butuh teman ngobrol siapa tau nyambung. Mau cerita soal pengalaman kuliah buku yang lagi dibaca atau politik juga oke. Prefer cowo. Sender gamatu 2021,0;;;;;;;;;;;;;
yujiem Aku kehilangan dompet kemarin malem a.n. RAFI AHMAD-PWK 24 isinya KTM SIM ATM polaroid &amp; Rp0 - Lokasi terakhir megang di FT sebelum portal keluar (mau tapping). Abis itu aku makan di Malatax &amp; pergi ke Jl. Monjali buat service hp. Mohon bantuannya ‍️,0;;;;;;;;;;;
https://t.co/3TqU8W4Mnj makasihhh yujiem yang udah reply inii^ masih need more saran jadi aku up lagii,0;;;;;;;;;;;;;
HAH bisa kenal mas2 ganteng atau mba2 cantik yujiem lewat event? YA JOINMUN LAHHH! kalian wajib banget daftar sekarang! https://t.co/4cydeAYDGC,0;;;;;;;;;;;;;
yujiem nanti malem mau nonton barca semoga ga ketiduran but talk to who:(,0;;;;;;;;;;;;;
yujiem adakah yang punya rekomendasi vila affordable buat makrab kapasitas 20 orang guys??,0;;;;;;;;;;;;;
luv! buat shri sosio'23 semangat kuliahnya yassshh!!!,0;;;;;;;;;;;;;
luv Kak Faisal R FH angkatan 23 udah ada pawangnya belum ya?,0;;;;;;;;;;;;;
